"id","accident_situation","base_fault_explanation","case_code","legal_reference","modifier_explanation","precedent","usage_note"
1,"⊙신호기가 있는 횡단보도에서 녹색신호에 교차로를 통과한 차량(직진, 좌회전, 우회전 규제를 받는 우회전)이 보행자신호등 적색신호에 횡단보도를 건너고 있던 보행자를 보행자신호등 적색신호가 여전히 켜져 있는 상황에서 충격한 사고이다.","⊙도로교통법 제5조에 따라 보행자나 차마는 신호기의 신호에 따라야 할 의무가 있으므로 이를 위반하여 보행자신호등 적색신호에 횡단을 개시한 보행자에게 일방적으로 과실을 물어야 할 것이나, 보행자가 상대적 교통약자인 점, 차량은 도로교통법 제27조 제1항에 따른 일시 정지 의무가 있는 점을 고려하여 보행자의 기본 과실비율을 70%로 정하였다. 제2장. 자동차와 자동차(이륜차 포함)의 사고 제3장. 자동차와 자전거(농기계 포함)의 사고 목차","보1","NaN","NaN","NaN","NaN"
2,"⊙신호기가 있는 횡단보도에서 황색신호에 교차로를 통과한 차량(직진, 좌회전, 우회전 규제를 받는 우회전)이 보행자신호등 적색신호에 횡단보도를 건너고 있던 보행자를 보행신호등 적색신호가 여전히 켜져 있는 상황에서 충격한 사고이다.","⊙차량이 황색신호에 진입한 경우 신호를 위반한 것이므로 보1 기준보다 보행자의 과실을 낮추어 보행자의 기본 과실비율을 50%로 정하였다.","보2","NaN","① 야간 또는 주·정차된 차량 사이에서 보행자가 걸어 나오는 등 운전자가 보행자의 횡단을 예상하기 어려운 경우 보행자의 과실을 5%까지 가산할 수 있다. ② 간선도로인 경우 보행자의 횡단을 예견하기 어려우므로 보행자의 과실을 5%까지 가산할 수 있다. 제2장. 자동차와 자동차(이륜차 포함)의 사고 제3장. 자동차와 자전거(농기계 포함)의 사고 목차","NaN","NaN"
3,"NaN","NaN","보3","NaN","NaN","NaN","NaN"
4,"NaN","NaN","보4","NaN","NaN","NaN","NaN"
5,"NaN","NaN","보5","NaN","NaN","NaN","NaN"
6,"NaN","NaN","보6","NaN","NaN","NaN","NaN"
7,"⊙신호기가 있는 횡단보도에서 적색신호에 교차로를 통과한 차량(직진, 좌회전, 우회전 규제를 받는 우회전 차량)이 보행자신호등 녹색점멸신호에 횡단보도를 건너고 있던 보행자를 보행자신호등 적색신호로 바뀐 상황에서 충격한 사고이다.","⊙차량이 신호를 위반한 사고이나, 보행자가 보행자신호 녹색점멸신호에 횡단을 개시하였고 보행자신호 적색신호에 충돌하였다는 점을 감안하여 보행자의 기본 과실비율을 20%로 정하였다.","보7","⊙도로교통법 제5조(신호 또는 지시에 따를 의무) ① 도로를 통행하는 보행자, 차마 또는 노면전차의 운전자는 교통안전시설이 표시하는 신호 또는 지시와 다음 각 호의 어느 하나에 해당하는 사람이 하는 신호 또는 지시를 따라야 한다. 제2장. 자동차와 자동차(이륜차 포함)의 사고 제3장. 자동차와 자전거(농기계 포함)의 사고 목차","NaN","NaN","NaN"
8,"NaN","NaN","보8","NaN","NaN","NaN","NaN"
9,"NaN","NaN","보9","NaN","NaN","NaN","NaN"
10,"NaN","NaN","보10","NaN","NaN","NaN","NaN"
11,"NaN","NaN","보11","NaN","NaN","NaN","NaN"
12,"⊙신호기가 있는 횡단보도를 통과하여 교차로에 진입하려는 차량이 보행자신호등 녹색점멸 신호에 횡단보도를 건너고 있던 보행자를 보행자신호등 녹색점멸 신호가 여전히 켜져 있는 상황에서 충격한 사고이다.","⊙보행자신호가 녹색점멸신호인 경우 차량신호등은 적색신호이므로 신호를 위반한 차량의 일방과실이어야 하나, 도로교통법 시행규칙 [별표2]에 따라 보행자도 녹색점멸시 신속하게 횡단하거나 되돌아와야 할 의무가 있으므로 보행자의 기본 과실비율을 5%로 정하였다.","보12","⊙도로교통법 제5조(신호 또는 지시에 따를 의무) ① 도로를 통행하는 보행자, 차마 또는 노면전차의 운전자는 교통안전시설이 표시하는 신호 또는 지시와 다음 각 호의 어느 하나에 해당하는 사람이 하는 신호 또는 지시를 따라야 한다. 제2장. 자동차와 자동차(이륜차 포함)의 사고 제3장. 자동차와 자전거(농기계 포함)의 사고 목차","NaN","NaN","NaN"
13,"⊙신호기가 없는 횡단보도에서 횡단보도를 통과하려는 차량이 횡단보도를 건너고 있던 보행 자를 충격한 사고이다. 신호기가 없는 횡단보도상의 사고에는 단일로(직선로, 곡선로)뿐만 아니라, 교차로 부근의 횡단보도상 사고도 포함한다. ⊙사고도로에 보차도 구분이나 중앙선 설치 여부에 관계 없이 본 기준을 참고적용한다.","⊙도로교통법 제27조 제1항에 따라 차량은 횡단보도를 건너는 보행자의 통행을 방해하여서 는 아니 되므로 이러한 의무를 위반한 차량의 일방과실로 정하였다.","보13","NaN","① 사고가 야간에 발생하였거나 차량에게 기타 시야장애가 있었던 경우 또는 사고 발생지가 간선 도로인 경우에는 차량의 주의의무가 경감되므로 보행자의 과실을 15%까지 가산할 수 있다. 제2장. 자동차와 자동차(이륜차 포함)의 사고 제3장. 자동차와 자전거(농기계 포함)의 사고 목차","NaN","NaN"
